Report,Report date,Account id,Account name,Amount
Profit and Loss,2026-01-31,6001,Other Income,2800
Profit and Loss,2025-12-31,4001,Processing Revenue,11200600
Profit and Loss,2025-12-31,4002,Processing Costs,4256230
Profit and Loss,2025-12-31,5001,Verification Fees,18400
Profit and Loss,2025-12-31,5003,Bank Charges & Fees,48
Profit and Loss,2025-12-31,5004,Legal & Professional Services,35800
Profit and Loss,2025-12-31,5005,Office Expenses,890
Profit and Loss,2025-12-31,5006,Contractors,78500
Profit and Loss,2025-12-31,5007,Employee Benefits,13600
Profit and Loss,2025-12-31,5008,Payroll Taxes,25200
Profit and Loss,2025-12-31,5009,Salaries & Wages,335000
Profit and Loss,2025-12-31,5010,Software Subscriptions,52400
Profit and Loss,2025-12-31,5011,Travel,8900
Profit and Loss,2025-12-31,5015,Advertising & Marketing,42000
Profit and Loss,2025-12-31,5016,Chargeback Losses,28400
Profit and Loss,2025-12-31,5017,Insurance,1800
Profit and Loss,2025-12-31,5023,Rent & Lease,2400
Profit and Loss,2025-12-31,5024,Contractors - Intl,16100
Profit and Loss,2025-12-31,6001,Other Income,4200
Profit and Loss,2025-12-31,6002,Interest Earned,320
Profit and Loss,2025-11-30,4001,Processing Revenue,10580200
Profit and Loss,2025-11-30,4002,Processing Costs,4020480
Profit and Loss,2025-11-30,5001,Verification Fees,17100
Profit and Loss,2025-11-30,5003,Bank Charges & Fees,42
Profit and Loss,2025-11-30,5004,Legal & Professional Services,28900
Profit and Loss,2025-11-30,5005,Office Expenses,320
Profit and Loss,2025-11-30,5006,Contractors,72300
Profit and Loss,2025-11-30,5007,Employee Benefits,12800
Profit and Loss,2025-11-30,5008,Payroll Taxes,23800
Profit and Loss,2025-11-30,5009,Salaries & Wages,318000
Profit and Loss,2025-11-30,5010,Software Subscriptions,48200
Profit and Loss,2025-11-30,5011,Travel,12400
Profit and Loss,2025-11-30,5015,Advertising & Marketing,38500
Profit and Loss,2025-11-30,5016,Chargeback Losses,22100
Profit and Loss,2025-11-30,5017,Insurance,1700
Profit and Loss,2025-11-30,5023,Rent & Lease,2400
Profit and Loss,2025-11-30,5024,Contractors - Intl,16100
Profit and Loss,2025-11-30,5028,State Taxes,14300
Profit and Loss,2025-11-30,6001,Other Income,3800
Profit and Loss,2025-11-30,6002,Interest Earned,280
Profit and Loss,2025-10-31,4001,Processing Revenue,9840500
Profit and Loss,2025-10-31,4002,Processing Costs,3739390
Profit and Loss,2025-10-31,5001,Verification Fees,15800
Profit and Loss,2025-10-31,5003,Bank Charges & Fees,38
Profit and Loss,2025-10-31,5004,Legal & Professional Services,32400
Profit and Loss,2025-10-31,5005,Office Expenses,480
Profit and Loss,2025-10-31,5006,Contractors,68100
Profit and Loss,2025-10-31,5007,Employee Benefits,11900
Profit and Loss,2025-10-31,5008,Payroll Taxes,22400
Profit and Loss,2025-10-31,5009,Salaries & Wages,298000
Profit and Loss,2025-10-31,5010,Software Subscriptions,45600
Profit and Loss,2025-10-31,5011,Travel,9800
Profit and Loss,2025-10-31,5015,Advertising & Marketing,35200
Profit and Loss,2025-10-31,5016,Chargeback Losses,8400
Profit and Loss,2025-10-31,5017,Insurance,42800
Profit and Loss,2025-10-31,5023,Rent & Lease,2400
Profit and Loss,2025-10-31,5024,Contractors - Intl,16100
Profit and Loss,2025-10-31,6001,Other Income,3400
Profit and Loss,2025-10-31,6002,Interest Earned,240
Profit and Loss,2025-09-30,4001,Processing Revenue,9120800
Profit and Loss,2025-09-30,4002,Processing Costs,3465900
Profit and Loss,2025-09-30,5001,Verification Fees,14200
Profit and Loss,2025-09-30,5003,Bank Charges & Fees,35
Profit and Loss,2025-09-30,5004,Legal & Professional Services,26800
Profit and Loss,2025-09-30,5005,Office Expenses,210
Profit and Loss,2025-09-30,5006,Contractors,64500
Profit and Loss,2025-09-30,5007,Employee Benefits,11200
Profit and Loss,2025-09-30,5008,Payroll Taxes,21100
Profit and Loss,2025-09-30,5009,Salaries & Wages,282000
Profit and Loss,2025-09-30,5010,Software Subscriptions,42800
Profit and Loss,2025-09-30,5011,Travel,6200
Profit and Loss,2025-09-30,5015,Advertising & Marketing,31400
Profit and Loss,2025-09-30,5016,Chargeback Losses,12800
Profit and Loss,2025-09-30,5017,Insurance,1500
Profit and Loss,2025-09-30,5023,Rent & Lease,2200
Profit and Loss,2025-09-30,5024,Contractors - Intl,16100
Profit and Loss,2025-09-30,6001,Other Income,2900
Profit and Loss,2025-09-30,6002,Interest Earned,190
Profit and Loss,2025-08-31,4001,Processing Revenue,8340200
Profit and Loss,2025-08-31,4002,Processing Costs,3169280
Profit and Loss,2025-08-31,5001,Verification Fees,12800
Profit and Loss,2025-08-31,5003,Bank Charges & Fees,32
Profit and Loss,2025-08-31,5004,Legal & Professional Services,24100
Profit and Loss,2025-08-31,5005,Office Expenses,180
Profit and Loss,2025-08-31,5006,Contractors,58900
Profit and Loss,2025-08-31,5007,Employee Benefits,10400
Profit and Loss,2025-08-31,5008,Payroll Taxes,19800
Profit and Loss,2025-08-31,5009,Salaries & Wages,264000
Profit and Loss,2025-08-31,5010,Software Subscriptions,38400
Profit and Loss,2025-08-31,5011,Travel,3200
Profit and Loss,2025-08-31,5015,Advertising & Marketing,28600
Profit and Loss,2025-08-31,5016,Chargeback Losses,9800
Profit and Loss,2025-08-31,5017,Insurance,1400
Profit and Loss,2025-08-31,5023,Rent & Lease,2200
Profit and Loss,2025-08-31,5024,Contractors - Intl,16100
Profit and Loss,2025-08-31,6001,Other Income,2400
Profit and Loss,2025-08-31,6002,Interest Earned,160
Profit and Loss,2025-07-31,4001,Processing Revenue,7480600
Profit and Loss,2025-07-31,4002,Processing Costs,2842630
Profit and Loss,2025-07-31,5001,Verification Fees,11200
Profit and Loss,2025-07-31,5003,Bank Charges & Fees,28
Profit and Loss,2025-07-31,5004,Legal & Professional Services,21800
Profit and Loss,2025-07-31,5005,Office Expenses,920
Profit and Loss,2025-07-31,5006,Contractors,52400
Profit and Loss,2025-07-31,5007,Employee Benefits,9600
Profit and Loss,2025-07-31,5008,Payroll Taxes,18200
Profit and Loss,2025-07-31,5009,Salaries & Wages,245000
Profit and Loss,2025-07-31,5010,Software Subscriptions,35800
Profit and Loss,2025-07-31,5011,Travel,1800
Profit and Loss,2025-07-31,5015,Advertising & Marketing,24200
Profit and Loss,2025-07-31,5016,Chargeback Losses,7200
Profit and Loss,2025-07-31,5017,Insurance,1200
Profit and Loss,2025-07-31,5023,Rent & Lease,2000
Profit and Loss,2025-07-31,5024,Contractors - Intl,16100
Profit and Loss,2025-07-31,5030,Recruiting Expenses,18000
Profit and Loss,2025-07-31,6001,Other Income,2100
Profit and Loss,2025-07-31,6002,Interest Earned,140
Profit and Loss,2025-06-30,4001,Processing Revenue,6520400
Profit and Loss,2025-06-30,4002,Processing Costs,2477750
Profit and Loss,2025-06-30,5001,Verification Fees,9800
Profit and Loss,2025-06-30,5003,Bank Charges & Fees,24
Profit and Loss,2025-06-30,5004,Legal & Professional Services,38200
Profit and Loss,2025-06-30,5005,Office Expenses,140
Profit and Loss,2025-06-30,5006,Contractors,48200
Profit and Loss,2025-06-30,5007,Employee Benefits,8800
Profit and Loss,2025-06-30,5008,Payroll Taxes,16800
Profit and Loss,2025-06-30,5009,Salaries & Wages,228000
Profit and Loss,2025-06-30,5010,Software Subscriptions,32400
Profit and Loss,2025-06-30,5015,Advertising & Marketing,18600
Profit and Loss,2025-06-30,5016,Chargeback Losses,14200
Profit and Loss,2025-06-30,5017,Insurance,1100
Profit and Loss,2025-06-30,5023,Rent & Lease,1800
Profit and Loss,2025-06-30,5024,Contractors - Intl,16100
Profit and Loss,2025-06-30,5030,Recruiting Expenses,12000
Profit and Loss,2025-06-30,6001,Other Income,1800
Profit and Loss,2025-06-30,6002,Interest Earned,120
Profit and Loss,2025-05-31,4001,Processing Revenue,5680200
Profit and Loss,2025-05-31,4002,Processing Costs,2158480
Profit and Loss,2025-05-31,5001,Verification Fees,8400
Profit and Loss,2025-05-31,5003,Bank Charges & Fees,22
Profit and Loss,2025-05-31,5004,Legal & Professional Services,28400
Profit and Loss,2025-05-31,5005,Office Expenses,120
Profit and Loss,2025-05-31,5006,Contractors,44800
Profit and Loss,2025-05-31,5007,Employee Benefits,8200
Profit and Loss,2025-05-31,5008,Payroll Taxes,15600
Profit and Loss,2025-05-31,5009,Salaries & Wages,212000
Profit and Loss,2025-05-31,5010,Software Subscriptions,29800
Profit and Loss,2025-05-31,5015,Advertising & Marketing,14200
Profit and Loss,2025-05-31,5016,Chargeback Losses,18400
Profit and Loss,2025-05-31,5017,Insurance,980
Profit and Loss,2025-05-31,5023,Rent & Lease,1600
Profit and Loss,2025-05-31,5024,Contractors - Intl,16100
Profit and Loss,2025-05-31,6001,Other Income,1500
Profit and Loss,2025-05-31,6002,Interest Earned,95
Profit and Loss,2025-04-30,4001,Processing Revenue,4820400
Profit and Loss,2025-04-30,4002,Processing Costs,1831750
Profit and Loss,2025-04-30,5001,Verification Fees,7200
Profit and Loss,2025-04-30,5003,Bank Charges & Fees,18
Profit and Loss,2025-04-30,5004,Legal & Professional Services,22800
Profit and Loss,2025-04-30,5005,Office Expenses,100
Profit and Loss,2025-04-30,5006,Contractors,41200
Profit and Loss,2025-04-30,5007,Employee Benefits,7400
Profit and Loss,2025-04-30,5008,Payroll Taxes,14200
Profit and Loss,2025-04-30,5009,Salaries & Wages,198000
Profit and Loss,2025-04-30,5010,Software Subscriptions,26800
Profit and Loss,2025-04-30,5015,Advertising & Marketing,10800
Profit and Loss,2025-04-30,5016,Chargeback Losses,8200
Profit and Loss,2025-04-30,5017,Insurance,880
Profit and Loss,2025-04-30,5023,Rent & Lease,1400
Profit and Loss,2025-04-30,5024,Contractors - Intl,8300
Profit and Loss,2025-04-30,6001,Other Income,1200
Profit and Loss,2025-04-30,6002,Interest Earned,80
Profit and Loss,2025-03-31,4001,Processing Revenue,4120600
Profit and Loss,2025-03-31,4002,Processing Costs,1565830
Profit and Loss,2025-03-31,5001,Verification Fees,6400
Profit and Loss,2025-03-31,5003,Bank Charges & Fees,15
Profit and Loss,2025-03-31,5004,Legal & Professional Services,18400
Profit and Loss,2025-03-31,5005,Office Expenses,840
Profit and Loss,2025-03-31,5006,Contractors,36800
Profit and Loss,2025-03-31,5007,Employee Benefits,6800
Profit and Loss,2025-03-31,5008,Payroll Taxes,13200
Profit and Loss,2025-03-31,5009,Salaries & Wages,186000
Profit and Loss,2025-03-31,5010,Software Subscriptions,24200
Profit and Loss,2025-03-31,5015,Advertising & Marketing,8400
Profit and Loss,2025-03-31,5016,Chargeback Losses,4800
Profit and Loss,2025-03-31,5017,Insurance,780
Profit and Loss,2025-03-31,5023,Rent & Lease,1200
Profit and Loss,2025-03-31,5024,Contractors - Intl,8300
Profit and Loss,2025-03-31,6001,Other Income,980
Profit and Loss,2025-03-31,6002,Interest Earned,65
