Report,Report date,Account id,Account name,Amount
Profit and Loss,2025-12-31,1150040031,Salary & Wages - SG,248419
Profit and Loss,2025-12-31,1150040032,Salary & Wages - US,129783
Profit and Loss,2025-12-31,1150040002,"Shipping, Freight & Delivery",20
Profit and Loss,2025-12-31,16,Software Expenses,57554
Profit and Loss,2025-12-31,22,Travel,20974
Profit and Loss,2025-12-31,54,Dividend Income,91396
Profit and Loss,2025-12-31,53,Interest Earned,218
Profit and Loss,2025-12-31,1150040001,Other Miscellaneous Income,803
Profit and Loss,2025-11-30,5,Payin Revenue,9603016
Profit and Loss,2025-11-30,1150040007,Payout Revenue,1531573
Profit and Loss,2025-11-30,1150040024,Bridge Fees,193489
Profit and Loss,2025-11-30,1150040023,CKO Fees,3741903
Profit and Loss,2025-11-30,1150040022,Persona Fees,18896
Profit and Loss,2025-11-30,1150040040,Sardine Fees,26936
Profit and Loss,2025-11-30,1150040021,SIFT Fees,16252
Profit and Loss,2025-11-30,7,Advertising & Marketing,102350
Profit and Loss,2025-11-30,24,Ask My Accountant,1842
Profit and Loss,2025-11-30,9,Bank Charges & Fees,2941
Profit and Loss,2025-11-30,1150040028,Chargeback Losses,50200
Profit and Loss,2025-11-30,11,Insurance,1527
Profit and Loss,2025-11-30,13,Legal & Professional Services,31659
Profit and Loss,2025-11-30,1150040019,Entertainment,77
Profit and Loss,2025-11-30,14,Meals,20
Profit and Loss,2025-11-30,51,Office Expenses,143
Profit and Loss,2025-11-30,15,Other Business Expenses,207
Profit and Loss,2025-11-30,1150040025,Professional Licenses,4748
Profit and Loss,2025-11-30,18,Rent & Lease Expenses,3227
Profit and Loss,2025-11-30,1150040037,Contractor - SG,34000
Profit and Loss,2025-11-30,10,Contractors - US,80800
Profit and Loss,2025-11-30,1150040014,Employee Benefits,4941
Profit and Loss,2025-11-30,1150040013,Payroll Processing Fees,1718
Profit and Loss,2025-11-30,1150040012,Payroll Taxes Expenses,7417
Profit and Loss,2025-11-30,1150040031,Salary & Wages - SG,146675
Profit and Loss,2025-11-30,1150040032,Salary & Wages - US,116104
Profit and Loss,2025-11-30,16,Software Expenses,59833
Profit and Loss,2025-11-30,50,State Taxes,30236
Profit and Loss,2025-11-30,22,Travel,34140
Profit and Loss,2025-11-30,2,Uncategorized Expense,1670
Profit and Loss,2025-11-30,54,Dividend Income,78734
Profit and Loss,2025-11-30,53,Interest Earned,61
Profit and Loss,2025-11-30,1150040001,Other Miscellaneous Income,801
Profit and Loss,2025-10-31,5,Payin Revenue,9430126
Profit and Loss,2025-10-31,1150040007,Payout Revenue,1560705
Profit and Loss,2025-10-31,1150040024,Bridge Fees,200522
Profit and Loss,2025-10-31,1150040023,CKO Fees,3689736
Profit and Loss,2025-10-31,1150040022,Persona Fees,18551
Profit and Loss,2025-10-31,1150040040,Sardine Fees,47229
Profit and Loss,2025-10-31,1150040021,SIFT Fees,15663
Profit and Loss,2025-10-31,7,Advertising & Marketing,123687
Profit and Loss,2025-10-31,24,Ask My Accountant,1000
Profit and Loss,2025-10-31,9,Bank Charges & Fees,2599
Profit and Loss,2025-10-31,1150040028,Chargeback Losses,9920
Profit and Loss,2025-10-31,11,Insurance,113741
Profit and Loss,2025-10-31,13,Legal & Professional Services,64408
Profit and Loss,2025-10-31,1150040019,Entertainment,76
Profit and Loss,2025-10-31,14,Meals,289
Profit and Loss,2025-10-31,51,Office Expenses,1332
Profit and Loss,2025-10-31,15,Other Business Expenses,207
Profit and Loss,2025-10-31,1150040025,Professional Licenses,6426
Profit and Loss,2025-10-31,1150040038,Referral Commissions,1908
Profit and Loss,2025-10-31,18,Rent & Lease Expenses,3042
Profit and Loss,2025-10-31,1150040037,Contractor - SG,34000
Profit and Loss,2025-10-31,10,Contractors - US,91775
Profit and Loss,2025-10-31,1150040014,Employee Benefits,4298
Profit and Loss,2025-10-31,1150040013,Payroll Processing Fees,3106
Profit and Loss,2025-10-31,1150040012,Payroll Taxes Expenses,11202
Profit and Loss,2025-10-31,1150040031,Salary & Wages - SG,156537
Profit and Loss,2025-10-31,1150040032,Salary & Wages - US,150456
Profit and Loss,2025-10-31,1150040002,"Shipping, Freight & Delivery",132
Profit and Loss,2025-10-31,16,Software Expenses,104044
Profit and Loss,2025-10-31,50,State Taxes,375
Profit and Loss,2025-10-31,22,Travel,25614
Profit and Loss,2025-10-31,54,Dividend Income,52864
Profit and Loss,2025-10-31,53,Interest Earned,189
Profit and Loss,2025-10-31,1150040001,Other Miscellaneous Income,7959
Profit and Loss,2025-09-30,5,Payin Revenue,7135763
Profit and Loss,2025-09-30,1150040007,Payout Revenue,1460099
Profit and Loss,2025-09-30,1150040024,Bridge Fees,183429
Profit and Loss,2025-09-30,1150040023,CKO Fees,2813501
Profit and Loss,2025-09-30,1150040022,Persona Fees,17076
Profit and Loss,2025-09-30,1150040040,Sardine Fees,72493
Profit and Loss,2025-09-30,1150040021,SIFT Fees,12936
Profit and Loss,2025-09-30,7,Advertising & Marketing,94600
Profit and Loss,2025-09-30,9,Bank Charges & Fees,12546
Profit and Loss,2025-09-30,1150040028,Chargeback Losses,14450
Profit and Loss,2025-09-30,11,Insurance,597
Profit and Loss,2025-09-30,13,Legal & Professional Services,65679
Profit and Loss,2025-09-30,1150040019,Entertainment,77
Profit and Loss,2025-09-30,14,Meals,395
Profit and Loss,2025-09-30,51,Office Expenses,39
Profit and Loss,2025-09-30,15,Other Business Expenses,207
Profit and Loss,2025-09-30,18,Rent & Lease Expenses,742
Profit and Loss,2025-09-30,1150040037,Contractor - SG,34000
Profit and Loss,2025-09-30,10,Contractors - US,85453
Profit and Loss,2025-09-30,1150040014,Employee Benefits,21725
Profit and Loss,2025-09-30,1150040013,Payroll Processing Fees,615
Profit and Loss,2025-09-30,1150040012,Payroll Taxes Expenses,6856
Profit and Loss,2025-09-30,1150040031,Salary & Wages - SG,156682
Profit and Loss,2025-09-30,1150040032,Salary & Wages - US,85200
Profit and Loss,2025-09-30,1150040002,"Shipping, Freight & Delivery",140
Profit and Loss,2025-09-30,16,Software Expenses,42024
Profit and Loss,2025-09-30,54,Dividend Income,39276
Profit and Loss,2025-09-30,53,Interest Earned,333
Profit and Loss,2025-09-30,1150040001,Other Miscellaneous Income,567
Profit and Loss,2025-08-31,5,Payin Revenue,6062843
Profit and Loss,2025-08-31,1150040007,Payout Revenue,1190407
Profit and Loss,2025-08-31,1150040024,Bridge Fees,144907
Profit and Loss,2025-08-31,1150040023,CKO Fees,2358561
Profit and Loss,2025-08-31,1150040022,Persona Fees,18053
Profit and Loss,2025-08-31,1150040040,Sardine Fees,4500
Profit and Loss,2025-08-31,1150040021,SIFT Fees,12936
Profit and Loss,2025-08-31,7,Advertising & Marketing,95044
Profit and Loss,2025-08-31,9,Bank Charges & Fees,1088
Profit and Loss,2025-08-31,1150040028,Chargeback Losses,5400
Profit and Loss,2025-08-31,11,Insurance,552
Profit and Loss,2025-08-31,13,Legal & Professional Services,102380
Profit and Loss,2025-08-31,1150040019,Entertainment,78
Profit and Loss,2025-08-31,14,Meals,1064
Profit and Loss,2025-08-31,51,Office Expenses,3109
Profit and Loss,2025-08-31,1150040025,Professional Licenses,3629
Profit and Loss,2025-08-31,18,Rent & Lease Expenses,742
Profit and Loss,2025-08-31,1150040037,Contractor - SG,73600
Profit and Loss,2025-08-31,10,Contractors - US,154662
Profit and Loss,2025-08-31,1150040014,Employee Benefits,-17092
Profit and Loss,2025-08-31,1150040013,Payroll Processing Fees,785
Profit and Loss,2025-08-31,1150040012,Payroll Taxes Expenses,9517
Profit and Loss,2025-08-31,1150040031,Salary & Wages - SG,246955
Profit and Loss,2025-08-31,1150040032,Salary & Wages - US,106528
Profit and Loss,2025-08-31,16,Software Expenses,33820
Profit and Loss,2025-08-31,22,Travel,273
Profit and Loss,2025-08-31,54,Dividend Income,31692
Profit and Loss,2025-08-31,53,Interest Earned,56
Profit and Loss,2025-08-31,1150040001,Other Miscellaneous Income,205
Profit and Loss,2025-07-31,5,Payin Revenue,5706571
Profit and Loss,2025-07-31,1150040007,Payout Revenue,923266
Profit and Loss,2025-07-31,1150040024,Bridge Fees,118530
Profit and Loss,2025-07-31,1150040023,CKO Fees,2168466
Profit and Loss,2025-07-31,7,Advertising & Marketing,2934
Profit and Loss,2025-07-31,9,Bank Charges & Fees,11626
Profit and Loss,2025-07-31,1150040028,Chargeback Losses,7900
Profit and Loss,2025-07-31,11,Insurance,186
Profit and Loss,2025-07-31,13,Legal & Professional Services,47821
Profit and Loss,2025-07-31,1150040019,Entertainment,78
Profit and Loss,2025-07-31,14,Meals,15
Profit and Loss,2025-07-31,51,Office Expenses,2759
Profit and Loss,2025-07-31,1150040025,Professional Licenses,4300
Profit and Loss,2025-07-31,1150040016,Recruiting Expenses,38000
Profit and Loss,2025-07-31,18,Rent & Lease Expenses,1342
Profit and Loss,2025-07-31,1150040037,Contractor - SG,34000
Profit and Loss,2025-07-31,10,Contractors - US,98767
Profit and Loss,2025-07-31,1150040014,Employee Benefits,2160
Profit and Loss,2025-07-31,1150040013,Payroll Processing Fees,560
Profit and Loss,2025-07-31,1150040012,Payroll Taxes Expenses,3253
Profit and Loss,2025-07-31,1150040031,Salary & Wages - SG,171234
Profit and Loss,2025-07-31,1150040032,Salary & Wages - US,39823
Profit and Loss,2025-07-31,16,Software Expenses,36707
Profit and Loss,2025-07-31,54,Dividend Income,23388
Profit and Loss,2025-07-31,53,Interest Earned,110
Profit and Loss,2025-07-31,1150040001,Other Miscellaneous Income,431
Profit and Loss,2025-06-30,5,Payin Revenue,3552151
Profit and Loss,2025-06-30,1150040007,Payout Revenue,713958
Profit and Loss,2025-06-30,1150040024,Bridge Fees,84135
Profit and Loss,2025-06-30,1150040023,CKO Fees,1326469
Profit and Loss,2025-06-30,7,Advertising & Marketing,218
Profit and Loss,2025-06-30,9,Bank Charges & Fees,1123
Profit and Loss,2025-06-30,1150040028,Chargeback Losses,18870
Profit and Loss,2025-06-30,11,Insurance,2930
Profit and Loss,2025-06-30,13,Legal & Professional Services,71586
Profit and Loss,2025-06-30,1150040019,Entertainment,78
Profit and Loss,2025-06-30,51,Office Expenses,39
Profit and Loss,2025-06-30,1150040016,Recruiting Expenses,12000
Profit and Loss,2025-06-30,18,Rent & Lease Expenses,142
Profit and Loss,2025-06-30,1150040037,Contractor - SG,34000
Profit and Loss,2025-06-30,10,Contractors - US,103396
Profit and Loss,2025-06-30,1150040014,Employee Benefits,400
Profit and Loss,2025-06-30,1150040013,Payroll Processing Fees,701
Profit and Loss,2025-06-30,1150040012,Payroll Taxes Expenses,2894
Profit and Loss,2025-06-30,1150040031,Salary & Wages - SG,134222
Profit and Loss,2025-06-30,1150040032,Salary & Wages - US,35833
Profit and Loss,2025-06-30,1150040002,"Shipping, Freight & Delivery",142
Profit and Loss,2025-06-30,16,Software Expenses,67447
Profit and Loss,2025-06-30,57,Federal Taxes,200000
Profit and Loss,2025-06-30,22,Travel,30
Profit and Loss,2025-06-30,54,Dividend Income,21156
Profit and Loss,2025-06-30,53,Interest Earned,0
Profit and Loss,2025-06-30,1150040001,Other Miscellaneous Income,226
Profit and Loss,2025-05-31,5,Payin Revenue,3579650
Profit and Loss,2025-05-31,1150040007,Payout Revenue,552102
Profit and Loss,2025-05-31,1150040024,Bridge Fees,66966
Profit and Loss,2025-05-31,1150040023,CKO Fees,1352246
Profit and Loss,2025-05-31,9,Bank Charges & Fees,1098
Profit and Loss,2025-05-31,1150040028,Chargeback Losses,96930
Profit and Loss,2025-05-31,11,Insurance,1661
Profit and Loss,2025-05-31,13,Legal & Professional Services,48991
Profit and Loss,2025-05-31,1150040019,Entertainment,77
Profit and Loss,2025-05-31,14,Meals,799
Profit and Loss,2025-05-31,51,Office Expenses,39
Profit and Loss,2025-05-31,1150040025,Professional Licenses,900
Profit and Loss,2025-05-31,18,Rent & Lease Expenses,142
Profit and Loss,2025-05-31,1150040037,Contractor - SG,34000
Profit and Loss,2025-05-31,10,Contractors - US,92436
Profit and Loss,2025-05-31,1150040014,Employee Benefits,1620
Profit and Loss,2025-05-31,1150040013,Payroll Processing Fees,1072
Profit and Loss,2025-05-31,1150040012,Payroll Taxes Expenses,3330
Profit and Loss,2025-05-31,1150040031,Salary & Wages - SG,115656
Profit and Loss,2025-05-31,1150040032,Salary & Wages - US,35833
Profit and Loss,2025-05-31,1150040002,"Shipping, Freight & Delivery",1189
Profit and Loss,2025-05-31,16,Software Expenses,62044
Profit and Loss,2025-05-31,50,State Taxes,20
Profit and Loss,2025-05-31,22,Travel,165
Profit and Loss,2025-05-31,54,Dividend Income,18059
Profit and Loss,2025-05-31,53,Interest Earned,28
Profit and Loss,2025-05-31,1150040001,Other Miscellaneous Income,841
Profit and Loss,2025-04-30,5,Payin Revenue,2145836
Profit and Loss,2025-04-30,1150040007,Payout Revenue,442297
Profit and Loss,2025-04-30,1150040024,Bridge Fees,106484
Profit and Loss,2025-04-30,1150040023,CKO Fees,863605
Profit and Loss,2025-04-30,9,Bank Charges & Fees,1473
Profit and Loss,2025-04-30,1150040028,Chargeback Losses,13470
Profit and Loss,2025-04-30,11,Insurance,1642
Profit and Loss,2025-04-30,13,Legal & Professional Services,43594
Profit and Loss,2025-04-30,1150040019,Entertainment,76
Profit and Loss,2025-04-30,51,Office Expenses,39
Profit and Loss,2025-04-30,18,Rent & Lease Expenses,142
Profit and Loss,2025-04-30,1150040037,Contractor - SG,17500
Profit and Loss,2025-04-30,10,Contractors - US,64946
Profit and Loss,2025-04-30,1150040014,Employee Benefits,750
Profit and Loss,2025-04-30,1150040013,Payroll Processing Fees,303
Profit and Loss,2025-04-30,1150040012,Payroll Taxes Expenses,3245
Profit and Loss,2025-04-30,1150040031,Salary & Wages - SG,115899
Profit and Loss,2025-04-30,1150040032,Salary & Wages - US,35833
Profit and Loss,2025-04-30,1150040002,"Shipping, Freight & Delivery",202
Profit and Loss,2025-04-30,16,Software Expenses,83519
Profit and Loss,2025-04-30,57,Federal Taxes,550000
Profit and Loss,2025-04-30,54,Dividend Income,16589
Profit and Loss,2025-04-30,53,Interest Earned,28
Profit and Loss,2025-04-30,1150040001,Other Miscellaneous Income,264
Profit and Loss,2025-03-31,5,Payin Revenue,1934206
Profit and Loss,2025-03-31,1150040007,Payout Revenue,305682
Profit and Loss,2025-03-31,1150040024,Bridge Fees,57377
Profit and Loss,2025-03-31,1150040023,CKO Fees,811556
Profit and Loss,2025-03-31,7,Advertising & Marketing,2285
Profit and Loss,2025-03-31,9,Bank Charges & Fees,1414
Profit and Loss,2025-03-31,1150040028,Chargeback Losses,1800
Profit and Loss,2025-03-31,11,Insurance,3116
Profit and Loss,2025-03-31,13,Legal & Professional Services,22660
Profit and Loss,2025-03-31,1150040019,Entertainment,74
Profit and Loss,2025-03-31,14,Meals,31
Profit and Loss,2025-03-31,51,Office Expenses,3918
Profit and Loss,2025-03-31,18,Rent & Lease Expenses,142
Profit and Loss,2025-03-31,1150040037,Contractor - SG,17500
Profit and Loss,2025-03-31,10,Contractors - US,27012
Profit and Loss,2025-03-31,1150040014,Employee Benefits,-3011
Profit and Loss,2025-03-31,1150040013,Payroll Processing Fees,98
Profit and Loss,2025-03-31,1150040012,Payroll Taxes Expenses,3403
Profit and Loss,2025-03-31,1150040031,Salary & Wages - SG,82209
Profit and Loss,2025-03-31,1150040032,Salary & Wages - US,35269
Profit and Loss,2025-03-31,1150040002,"Shipping, Freight & Delivery",12
Profit and Loss,2025-03-31,16,Software Expenses,23307
Profit and Loss,2025-03-31,50,State Taxes,2283
Profit and Loss,2025-03-31,22,Travel,169
Profit and Loss,2025-03-31,54,Dividend Income,13457
Profit and Loss,2025-03-31,53,Interest Earned,28
Profit and Loss,2025-03-31,1150040001,Other Miscellaneous Income,320
