Date,Account id,Account name,Vendor/Payee,Memo,Amount,Type
2026-01-15,5004,Legal & Professional Services,PKF Advisory,Transfer pricing study - Phase 1,28000.00,Bill
2026-01-20,5004,Legal & Professional Services,ComplianceFirst LLC,AML program review,6200.00,Bill
2026-01-25,5004,Legal & Professional Services,Baker & Sterling,IP licensing opinion letter,12500.00,Bill
2026-01-28,5004,Legal & Professional Services,StateReg Partners,State license renewals - batch,4180.00,Bill
2026-01-31,5004,Legal & Professional Services,Various,Misc professional services,93000.00,Journal Entry
2026-01-15,5009,Salaries & Wages,Payroll,Semi-monthly payroll - Jan 1-15,38420.00,Payroll
2026-01-31,5009,Salaries & Wages,Payroll,Semi-monthly payroll - Jan 16-31,39990.00,Payroll
2026-01-15,5008,Payroll Taxes,Payroll,Payroll taxes - Jan 1-15,5180.00,Payroll
2026-01-31,5008,Payroll Taxes,Payroll,Payroll taxes - Jan 16-31,5400.00,Payroll
2026-01-15,5026,Salaries - Intl,Payroll - SG,Singapore payroll - Jan,34700.00,Wire
2026-01-31,5026,Salaries - Intl,Payroll - SG,Singapore payroll - Jan (2nd),34700.00,Wire
2026-01-05,5015,Advertising & Marketing,N/A,No marketing spend this month,0.00,Journal Entry
2026-01-03,5003,Bank Charges & Fees,Mercury,Wire transfer fee,12.00,Bank Fee
2026-01-15,5003,Bank Charges & Fees,SVB,International wire fee,10.00,Bank Fee
2026-01-02,5016,Chargeback Losses,Various merchants,January confirmed losses,4730.00,Journal Entry
2026-01-05,5017,Insurance,SafeGuard Insurance,D&O insurance - monthly allocation,720.00,Bill
2026-01-10,5024,Contractors - Intl,DevTeam Asia,Development support - Singapore,16090.00,Wire
2026-01-05,5023,Rent & Lease,WeWork,Hot desk - NYC,67.00,Bill
2026-01-08,5019,Entertainment,Team lunch,Team outing,37.00,Expense
2026-01-03,4001,Processing Revenue,Various merchants,Week 1 - processing fees,1156200.00,Journal Entry
2026-01-10,4001,Processing Revenue,Various merchants,Week 2 - processing fees,1203400.00,Journal Entry
2026-01-17,4001,Processing Revenue,Various merchants,Week 3 - processing fees,1189700.00,Journal Entry
2026-01-24,4001,Processing Revenue,Various merchants,Week 4 - processing fees,1243800.00,Journal Entry
2026-01-03,4002,PSP Fees,Payment Processor Co,Week 1 - processing fees,437200.00,Journal Entry
2026-01-10,4002,PSP Fees,Payment Processor Co,Week 2 - processing fees,455400.00,Journal Entry
2026-01-17,4002,PSP Fees,Payment Processor Co,Week 3 - processing fees,450100.00,Journal Entry
2026-01-24,4002,PSP Fees,Payment Processor Co,Week 4 - processing fees,471380.00,Journal Entry
2026-01-03,4003,Withdrawal Revenue,Various merchants,Week 1 - withdrawal fees,52340.00,Journal Entry
2026-01-10,4003,Withdrawal Revenue,Various merchants,Week 2 - withdrawal fees,48920.00,Journal Entry
2026-01-17,4003,Withdrawal Revenue,Various merchants,Week 3 - withdrawal fees,55100.00,Journal Entry
2026-01-24,4003,Withdrawal Revenue,Various merchants,Week 4 - withdrawal fees,51230.00,Journal Entry
2026-02-03,5010,Software Subscriptions,Sigma Computing,Annual BI platform - Feb allocation,3200.00,Bill
2026-02-03,5010,Software Subscriptions,Coupler.io,Data integration - monthly,890.00,Bill
2026-02-03,5010,Software Subscriptions,TaxJar,Sales tax automation - monthly,1540.00,Bill
2026-02-05,5010,Software Subscriptions,Slack,Business+ plan - monthly,2180.00,Bill
2026-02-05,5010,Software Subscriptions,Notion,Team plan - monthly,640.00,Bill
2026-02-05,5010,Software Subscriptions,Google Workspace,Business Standard - monthly,1920.00,Bill
2026-02-07,5010,Software Subscriptions,AWS,Cloud hosting - February,7920.00,Bill
2026-02-07,5010,Software Subscriptions,Vercel,Pro plan - monthly,420.00,Bill
2026-02-08,5010,Software Subscriptions,1Password,Business plan - monthly,285.00,Bill
2026-02-08,5010,Software Subscriptions,Datadog,Infrastructure monitoring - monthly,3150.00,Bill
2026-02-10,5010,Software Subscriptions,Linear,Project management - monthly,340.00,Bill
2026-02-12,5010,Software Subscriptions,Figma,Design tool - monthly,450.00,Bill
2026-02-15,5010,Software Subscriptions,GitHub,Team plan - monthly,525.00,Bill
2026-02-18,5010,Software Subscriptions,Sentry,Error monitoring - monthly,290.00,Bill
2026-02-20,5010,Software Subscriptions,Zendesk,Support platform - monthly,780.00,Bill
2026-02-22,5010,Software Subscriptions,DocuSign,Business plan - monthly,320.00,Bill
2026-02-25,5010,Software Subscriptions,Vanta,SOC 2 compliance - monthly,2100.00,Bill
2026-02-28,5010,Software Subscriptions,Other software,Misc subscriptions,6560.00,Journal Entry
2026-02-03,5006,Contractors,TechBridge Solutions,Backend development - Feb 1-15,12400.00,Bill
2026-02-17,5006,Contractors,TechBridge Solutions,Backend development - Feb 16-28,12400.00,Bill
2026-02-05,5006,Contractors,DataFlow Analytics,Data engineering support - February,5800.00,Bill
2026-02-10,5006,Contractors,NovaPay Integrations,Payment gateway integration,22140.00,Bill
2026-02-20,5006,Contractors,PixelCraft Design,UI/UX - dashboard redesign,7000.00,Bill
2026-02-25,5006,Contractors,SecureNet Consulting,Penetration testing,10000.00,Bill
2026-02-04,5004,Legal & Professional Services,Morrison & Associates LLP,Corporate legal - monthly retainer,8500.00,Bill
2026-02-12,5004,Legal & Professional Services,StateReg Partners,MTL applications - 3 states,4583.00,Bill
2026-02-20,5004,Legal & Professional Services,ComplianceFirst LLC,Quarterly compliance review,2800.00,Bill
2026-02-15,5009,Salaries & Wages,Payroll,Semi-monthly payroll - Feb 1-15,60200.00,Payroll
2026-02-28,5009,Salaries & Wages,Payroll,Semi-monthly payroll - Feb 16-28,61810.00,Payroll
2026-02-15,5008,Payroll Taxes,Payroll,Payroll taxes - Feb 1-15,5720.00,Payroll
2026-02-28,5008,Payroll Taxes,Payroll,Payroll taxes - Feb 16-28,6030.00,Payroll
2026-02-15,5026,Salaries - Intl,Payroll - SG,Singapore payroll - Feb,0.00,Wire
2026-02-28,5026,Salaries - Intl,Payroll - SG,Singapore payroll - Feb (2nd),0.00,Wire
2026-02-05,5001,KYC Verification Fees,IDVerify Platform,KYC checks - February,8240.00,Bill
2026-02-03,5003,Bank Charges & Fees,Mercury,Wire transfer fee,12.00,Bank Fee
2026-02-18,5003,Bank Charges & Fees,SVB,International wire fee,9.00,Bank Fee
2026-02-10,5024,Contractors - Intl,DevTeam Asia,Development support - Singapore,0.00,Wire
2026-02-05,5023,Rent & Lease,WeWork,Hot desk - NYC,0.00,Bill
2026-02-02,5002,Unallocated Expenses,Various,Pending classification,14870.00,Journal Entry
2026-02-07,5007,Employee Benefits,Various,Health insurance adjustment,-17890.00,Journal Entry
